payment_id,type
a41b4206-4ed6-4219-86ff-b1461ebd0ad7,card
d647f47c-6a54-445a-a6a4-9231fb310fa3,UPI
dcad800f-e036-4224-afbb-21524757f7a9,card
82b9e025-b311-4aa5-a9e4-2c62ca82d566,card
6244eaca-1b05-4e3e-85b3-5a3f91af2860,card
abe9d36a-2082-49d6-aa06-b4bd9825bc14,UPI
a63f2f09-b9b6-4c31-96f4-5666d3f65a03,card
1c882df7-d4e6-47f0-aa97-ce1179bda36f,card
4a7bed56-47bc-4977-90ae-0e9a0adc88c9,UPI
bc304990-b2e9-4e22-8950-723c7f22e1a5,card
1a7344d2-9cb8-4cbb-83f2-dfe550f2ac90,wallet
fb3bb539-125e-4e6b-a597-3709acb32251,card
0c335a15-6f58-43ac-a647-6c2bc5846794,wallet
aa67ec72-30a4-468e-a18c-6ef6809b1873,wallet
6077d312-aa3d-4daa-b687-94823915c861,wallet
aa2641dc-d43c-48a7-84bd-7a1515c3f21d,card
bdee15a9-12f7-49c0-8209-735beb8e01e9,wallet
7eccfcc1-8d9e-4959-8f45-b3ec6a590fda,card
3a9d1b34-a40e-4100-9839-7ffdacba462a,UPI
3176d931-0d85-48ef-8957-3c4c5498f5f8,wallet
9e624c0c-eb71-4e13-b2c1-52373dd9e533,UPI
228f56c0-b864-4754-9b80-429f36dc864c,UPI
ef598b5b-66b6-4310-991a-4815bba2c7bd,UPI
a11fd05d-248d-420b-8f82-e29ad6b5824f,wallet
d14275be-f04d-45f0-a434-be36a500d055,wallet
3da5beeb-0a0b-47b1-8100-297bc757f7f4,UPI
c41a642b-aa5f-4e3c-b3ce-5f04100fb2a9,UPI
4d9c2db2-1cdb-427c-8724-59861cbd14ba,UPI
ad49dc49-98d5-4ad8-9cf5-a9b35ac18485,UPI
c2d6a817-4b12-4ce4-9d68-dd5050cf8093,UPI
5d45998f-93b4-448c-8042-9050c1249855,card
4a1d6c20-2660-423f-8fff-35b10b8200f5,UPI
d8adce6d-03a7-463f-8488-0131cc0b6ae5,UPI
fee60b25-a2ea-4e23-b189-53d3578dcfb0,wallet
e6e2a526-ca15-42e5-8942-8edb56c5e044,wallet
fbffa5c5-65a0-4e0c-a3ae-c55974820053,card
37396828-b7b9-4108-96dc-a1a065985065,wallet
81e83f0d-6669-46fc-acca-6f7ad755e9ba,card
a207e101-c0a8-49f2-81ae-0c72798c17cd,card
6bb49d9a-8de3-413f-b512-b67ef2daf530,UPI
71066faa-2ff2-46fb-a935-f5e33e7a7788,wallet
416083d1-5f3d-4fb3-88f5-26850e70d15e,wallet
841fe529-eb8b-42f7-b25c-55df1f864ee4,wallet
820b4582-0dac-4bd1-bc29-ca7460a0e5e0,UPI
6192c8d0-5af1-4a96-a55e-3161c7e7c24e,wallet
d219c395-dfab-4c64-947c-52e03c5bb3f4,card
e6bca075-18db-40ce-aea1-6262dfe4fdbd,wallet
0a9bf57e-de6a-49b9-bb56-423517690490,wallet
a64ff1ae-2e57-4a88-bec6-f6f2c7658dc1,card
042f4660-6484-4f50-8417-38416cab8cce,UPI
f0fd552b-a731-42de-81ad-0cb05e8d2629,wallet
7ce31af3-e127-4065-9058-c539b4026fe5,card
f55806b7-3728-46f8-ab24-8393e7c2138c,UPI
b35097ee-13f4-4ad2-902c-6e4c793f4407,wallet
ea735255-636e-4095-a54d-e8b3f702f007,UPI
afe6d9aa-ce9a-452a-a367-3c23583c433a,card
2363d113-5396-4b4d-a198-cc552dc98624,UPI
701e8a2c-fb57-4a69-95a4-8311f68f91c7,card
9ec373da-c1a9-4480-be26-ffaf487193da,wallet
87b92e56-804b-43ef-9f05-394ef6b0c494,card
6d1d632c-d926-444b-86b4-ed32cbd4cd85,card
b3a552d9-e9c7-4db7-8998-23129a55c2fb,UPI
df4c8949-ba1a-49c4-912e-7b51fa97519b,wallet
d0b1cfbf-b9fc-47ff-9425-4d502089be63,UPI
8b4eaa43-be96-4a57-b25c-c03a9b7a68c9,card
51e90099-6a7e-47fd-b522-11122de6c6fd,wallet
8d1fba46-c79b-49bd-8d66-c5c7bc374b15,wallet
b9bdf697-78c8-4163-88a9-d41db01735b2,card
db06f158-3915-48e6-be57-6d81b20940ca,card
617bc0bb-71fa-4bb4-836a-57c1e08ade93,card
a640cf6b-4ec3-4f48-8e36-18a8f564f24d,UPI
132d264a-2040-4454-9831-fe317cff6148,card
2328cf5e-2115-4c27-b24f-7c7a7d132a1b,UPI
8f12d8de-bebd-4aaa-9d47-b40fbc3797ae,UPI
9aa5d7ce-65bd-4bb6-a544-eecf700a3b97,UPI
a3a9d8a9-c345-4f65-b679-7e9ad75b36fb,UPI
1d60a9b7-1455-45cc-a0d8-73a86135cdee,wallet
306554ad-eaaa-4d42-b095-66921c18825a,wallet
3e7e5cf1-f13d-48a6-96c6-a50188a1a43c,wallet
c8d34f3a-8b91-42ab-b6f6-62280ebec23f,UPI
78997f3c-4cc3-4556-aa9a-ac189dd0c111,card
30e149ee-d91c-4739-ba61-b7b4c4dcf1d0,UPI
1d589674-f563-4e77-8956-939b022ef34f,UPI
ae16eca5-e4cc-492e-be65-038c325f8860,card
94c7c9e6-2869-488a-a55c-4b996b58388d,UPI
c72f4fc6-93fd-4520-8389-b7f256eb4fb8,wallet
3ab2e943-bcb0-4279-82fa-1c16b110bd82,UPI
d47ffad6-c6a4-4a8f-a1c1-6a4ad5d6ab91,UPI
1bee2d25-04c0-4ca3-9f3f-31079de58fb2,wallet
6841a72f-16bf-44dd-9f14-64595338d66d,card
8b5ac6e6-ceb9-498f-8421-e4cc71a35ce1,card
782e30dd-2496-47b2-9c83-06322ea2355d,card
4960d0b5-b288-4ef0-aad2-ceefa1a88955,wallet
8b90ced8-3554-421e-aae1-29a3d8b2002f,UPI
15196096-d5a8-4bf1-b239-53ab04e71a64,UPI
9ed5a5dc-5bb4-4e2c-8933-654b5c3c3846,UPI
6ffd8aec-dc2a-469d-ba6c-ed713cb0468c,UPI
0a00dfef-99ef-41f4-9d4d-93ef39ddac83,wallet
7bb4c33f-6371-4ff1-bf1e-b44897c3c4ef,UPI
c12d8ced-a4c3-4d9d-8991-94ac307cdb29,wallet
e0248edd-21ec-48dc-a961-615d56af212a,wallet
b42d3aa8-1c91-4b65-9784-dbbfc7e29d30,wallet
8c3b9a19-1af1-4d76-933f-7f6f2e291a51,UPI
24e93417-7c80-446e-8eaf-6a046c90a36c,UPI
a248f34d-5e18-4810-a007-027d152d3ac5,wallet
3952614f-5aeb-4172-b3f2-6342ba39dc65,card
0ed4e8d8-38ec-45fe-afb7-2330deadf9c2,card
a048cacb-10c2-486b-85ba-6e9c23226dde,card
8f0420d7-a952-49ae-a0aa-6979928dd89a,card
9a5e8c91-0516-43e1-813a-79889a2b604e,card
e9b7eaaa-6eb9-4896-a9d6-3d416ddf0c45,UPI
c076979b-1ddc-4b45-8beb-f87acf7ac524,card
bcf9e0aa-6b18-4b1e-9e47-a4c948cd0015,card
b7ac3042-b6e8-4e17-b79e-a9c4aba80ba1,wallet
f1277282-11a3-47b5-bf72-cf05d1fe82e5,card
33dfc480-6569-4fc3-8771-91a59c88e4d7,wallet
1745ad52-3c4c-4b4f-a7da-16d2bd8226e6,UPI
8678de6a-9376-4a2b-b45c-d601fc7b9661,wallet
ec93f360-c6ab-4067-a4a6-587ae42e656a,wallet
9e218e3c-f0f8-495f-83ee-00313c659248,UPI
efdd0322-dac5-4da7-b99a-0baaabde4df4,UPI
8dcd21de-6e5f-4401-8b8b-4d199cdeecc5,card
cdf18871-6de1-4f2b-b2ee-eb1aafb008a5,card
2b2bdc13-232f-4a93-b752-f9e93ed0bfa9,card
2c086e99-ceaa-4c13-8d83-bfe835c5ef04,UPI
f7d4ba69-a48c-48f7-9686-6dcc5efe6561,card
c80a01c6-8045-462d-949b-2348ddb19cc4,card
b3efd20e-e625-43a0-9433-0c327eda7da3,wallet
dfe90bb5-fa31-40a7-94a9-f4ce6a2bf1e4,wallet
7dc0cda2-abb5-4142-8519-49482b6042c0,UPI
6fdf5e3a-ff41-4c6d-9355-3e75209f264f,UPI
c882d453-2a7b-4d9a-bbca-4abb6d703501,card
d210257e-e265-4d5f-8e2c-08ce4638548c,UPI
b0ff1cb5-d13b-410f-a18a-0b5bba1676c7,card
10bc5aba-2e5a-4a40-a7d5-73f053e6bdfd,wallet
c839f8bc-f3c5-4d19-bb1f-c82d08bb6af5,wallet
6b2eef54-7e07-4738-822b-9837b76d1798,wallet
7ff6f852-538f-44cc-9955-07d7f9e2bcc9,card
c5c072e5-d771-40d2-9559-2a3f5c804a0c,card
ed7814fb-2c63-4c86-80a4-fc8aed0e2a74,card
1efe82cf-1914-43e4-9075-bd45e16bd730,UPI
fe038b67-442c-4639-9fc1-7359882235de,UPI
