order_id,customer_id,amount,timestamp,status
edb74cbf-a930-491b-9d48-619f901c84bd,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,8255.01,2026-06-11 23:05:11,failed
549f8aed-b64d-4bb6-beee-df015c83cfd6,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,5210.46,2026-10-11 21:05:11,completed
ba6be932-d77d-418b-b615-62e26d3bea0e,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,4711.62,2026-09-11 17:05:11,completed
36b62f17-5361-4112-a499-8ff83eb9cb49,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,2648.6,2026-06-25 00:05:11,completed
e407b462-ded1-4cde-95c1-1cfa214b5919,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,5776.84,2026-07-03 15:05:11,completed
49f36d27-ca73-45b9-b34f-1b6ffe40c560,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,4928.83,2026-05-08 12:05:11,completed
3dd88f86-5c9b-45fb-b07c-c40ed455ccf2,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,9095.03,2026-10-12 11:05:11,completed
9c1b5694-7783-4241-ab89-22fb88669440,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,5847.58,2026-07-03 14:05:11,completed
b047844f-41e8-4273-9aff-c69858a5e881,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,8207.99,2026-05-02 23:05:11,completed
4812e01b-778a-44a2-9545-e3a4676aa1ea,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,8524.89,2026-05-18 20:05:11,completed
4419de8a-02a9-478d-98bc-36a746abb58a,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,3186.88,2026-09-28 09:05:11,completed
c483219a-fc2d-40af-bd12-4e45bfef3796,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,5123.54,2026-09-04 07:05:11,completed
198e3ed1-1eba-4f34-9988-8486f1077bf9,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,4050.25,2026-05-01 10:05:11,completed
890ed1de-9595-446b-b151-39e127ae4b88,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,2376.44,2026-09-18 07:05:11,completed
a289f210-0fd5-4fd2-acf6-b463b2cdea32,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,1008.94,2026-07-27 17:05:11,completed
bf5c7823-ef33-4610-8d9e-e64bf1af4596,fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,1033.77,2026-05-01 06:05:11,completed
