customer_id,account_age_days,order_count,total_spend,spend_to_discount_ratio,time_to_first_order_hours,redemption_count,high_value_promo_ratio,time_to_first_redemption_hours,order_redemption_rate,max_device_user_count,max_address_user_count,max_payment_user_count,max_ip_user_count,unique_connected_customers,shared_entity_ratio,avg_entity_degree,max_entity_degree,cluster_size,cluster_creation_span_hours,cluster_redemptions_1h,min_account_creation_delta_minutes
42fb79cb-73b9-4b3d-ba6a-b2d2964e88a0,131.55882204969907,5,15014.65,27.974828588463257,690.0,2,0.0,690.0,0.4,2,2,2,1,1,0.75,1.75,2,34,8228.253333333334,1,135917.45
64ec232c-75bb-4fe4-a9d4-b6d866d6eaf0,225.94594010525466,5,4157.82,21.631652879662866,6.0,1,0.0,1809.0,0.2,2,2,2,26,26,1.0,8.0,26,34,8228.253333333334,2,6431.966666666666
efd554a1-de46-4e42-a60a-8a8fcfb54896,334.3715766793287,2,3823.02,37.85168316831683,153.0,1,0.0,153.0,0.5,2,2,2,2,1,1.0,2.0,2,2,1772.3808333333334,2,106342.85
54f6c235-da04-4003-9c4a-255fa8a19e73,260.5223752904398,4,16524.95,10.32164272329794,691.0,3,0.0,691.0,0.5,2,2,2,2,1,1.0,2.0,2,2,1772.3808333333334,2,106342.85
3a60368b-26a7-4dc2-9693-a7f3b5d187ef,311.1326646422917,4,2670.5299999999997,4.861785213639425,5.0,4,0.0,5.0,1.0,2,2,2,26,26,1.0,8.0,26,34,8228.253333333334,2,7890.533333333334
fec64a14-572d-4db6-9206-5ba249888f10,217.15347482747688,4,19038.27,24.430903281276066,243.0,4,0.0,243.0,0.75,2,2,2,1,1,0.75,1.75,2,34,8228.253333333334,2,135330.03333333333
80f3925f-5b58-4833-a09c-b6ebe5e4977c,10.930210938587964,3,12913.470000000001,64.24611940298509,3992.0,2,0.0,3992.0,0.6666666666666666,2,2,2,2,1,1.0,2.0,2,2,7966.406111111111,2,477984.36666666664
53a0c9fd-882d-46f0-8f2e-7ecf66f3420e,342.8637989015509,3,11459.0,19.066555740432612,408.0,2,0.0,408.0,0.3333333333333333,2,2,2,2,1,1.0,2.0,2,2,7966.406111111111,2,477984.36666666664
b1f00d97-2ee5-4206-ac41-e8a434bb3eb8,72.04379890155093,3,16107.41,20.109126092384518,1131.0,2,0.0,1131.0,0.6666666666666666,2,2,2,2,1,1.0,2.0,2,2,6377.878333333333,1,382672.7
aa43a61b-40ec-4a24-a66d-a47b3224add4,337.7887294571065,4,20794.92,69.08611295681062,372.0,2,0.0,372.0,0.5,2,2,2,2,1,1.0,2.0,2,2,6377.878333333333,1,382672.7
d3af3ce1-be12-4e32-90ca-933adb25fa05,51.758972512662034,1,1407.82,1407.82,1100.0,0,0.0,-1.0,0.0,2,2,2,14,14,1.0,5.0,14,52,8090.93,2,5641.9
9adf9e3f-4b16-446c-9ee6-1ad72edac370,157.0869817719213,3,8344.85,16.656387225548904,434.0,1,0.0,434.0,0.3333333333333333,2,2,2,1,1,0.75,1.75,2,52,8090.93,1,151672.33333333334
1704880e-e84f-472a-af44-908ce8e35a3e,176.75539612377315,5,26040.8,20.01598770176787,425.0,2,0.0,425.0,0.4,2,2,2,2,1,1.0,2.0,2,2,3981.3997222222224,1,238883.98333333334
c5fa66ee-67f5-4b83-b81e-cbabe0862c54,342.64705121636575,7,5443.93,10.178233556444678,3.0,2,0.0,3.0,0.2857142857142857,2,2,2,2,1,1.0,2.0,2,2,3981.3997222222224,1,238883.98333333334
99a2c5e2-310b-4e52-aeff-abbc2c13aece,19.606403068217595,2,10946.220000000001,72.49152317880795,252.0,1,0.0,252.0,0.5,2,2,2,2,1,1.0,2.0,2,2,4026.5486111111113,1,241592.91666666666
6a41db52-0b60-4b18-ba3a-75de29c4535b,187.3792618645139,2,8366.49,16.699580838323353,1076.0,1,0.0,1076.0,0.5,2,2,2,2,1,1.0,2.0,2,2,4026.5486111111113,1,241592.91666666666
d76fa90e-1d69-4e80-b8ce-f7c2c77837d1,362.32151880895833,4,27309.760000000002,27.282477522477524,850.0,2,0.0,850.0,0.5,2,2,2,1,1,0.75,1.75,2,32,8136.2325,1,43526.48333333333
12def42d-ce10-47fc-9ad6-5e1d1c97d1cf,332.09479427192133,1,4870.45,9.721457085828343,26.0,1,0.0,26.0,1.0,2,2,2,27,27,1.0,8.25,27,32,8136.2325,3,20.0
ff1f0c52-cbb1-4b48-aec8-26c4f657f73e,351.3677688089584,4,12652.96,21.053178036605654,1859.0,2,0.0,1859.0,0.25,2,2,2,2,1,1.0,2.0,2,2,7722.902777777777,2,463374.1666666667
5743504f-6574-48dd-88b4-b9504dcb2d1e,29.58015306821759,2,9746.91,19.45491017964072,933.0,1,0.0,933.0,0.5,2,2,2,2,1,1.0,2.0,2,2,7722.902777777777,2,463374.1666666667
fde9535e-6c2e-41f9-9b28-ab604b28a4a0,229.56584751266206,3,2663.17,5.114595736508546,1.0,2,0.0,1.0,0.6666666666666666,2,2,2,1,1,0.75,1.75,2,34,8228.253333333334,1,95680.8
b97d88e9-c058-4ed4-bf84-02057970b70b,296.01084751266205,4,2355.35,5.440863940863941,6.0,1,0.0,6.0,0.25,2,2,2,26,26,1.0,8.0,26,34,8228.253333333334,2,13884.883333333333
5cb39c91-44c0-4301-a7d7-c7fdca38d396,163.44267621636573,3,8013.14,10.003920099875156,214.0,2,0.0,214.0,0.6666666666666666,2,2,2,2,1,1.0,2.0,2,2,927.165,1,55629.9
e3a90502-c801-41c2-8794-40824e29013c,202.07455121636576,4,20027.79,14.295353319057817,980.0,2,0.0,980.0,0.5,2,2,2,2,1,1.0,2.0,2,2,927.165,1,55629.9
f2246c6e-1925-4579-9d28-9ab9d3c0827a,57.1034516793287,3,17926.21,35.78085828343313,265.0,1,0.0,265.0,0.3333333333333333,2,2,2,2,1,1.0,2.0,2,2,5585.8825,1,335152.95
278ad616-ca7b-4afc-91b7-e4b966ff1588,289.8485558459954,4,16987.77,33.9077245508982,552.0,1,0.0,552.0,0.25,2,2,2,2,1,1.0,2.0,2,2,5585.8825,1,335152.95
1388891a-7df0-455a-bbbc-ea98f7f137aa,54.120372975624996,4,15910.56,15910.56,1678.0,0,0.0,-1.0,0.0,2,2,2,2,1,1.0,2.0,2,2,819.0238888888889,1,49141.433333333334
a235eec3-7eb8-4056-89ea-20fa033a6c5c,88.24636834599536,2,7119.799999999999,14.211177644710578,499.0,1,0.0,499.0,0.5,2,2,2,2,1,1.0,2.0,2,2,819.0238888888889,1,49141.433333333334
642225de-6a0f-4b36-9bb3-d89d764f260b,203.88900723488428,4,14274.65,14274.65,1252.0,0,0.0,-1.0,0.0,2,2,2,2,1,1.0,2.0,2,2,675.3316666666667,0,40519.9
2800b54e-77f0-4e02-aca2-da8785a143d5,175.7501877904398,4,17332.29,17332.29,2600.0,0,0.0,-1.0,0.0,2,2,2,2,1,1.0,2.0,2,2,675.3316666666667,0,40519.9
aa27dd76-d7e2-47bc-9cc9-6b4880a835d5,107.87613686451388,4,13834.77,23.438831003811945,694.0,2,0.0,694.0,0.5,2,2,2,1,1,0.75,1.75,2,52,8090.93,1,96139.68333333333
08c88406-8002-4454-bdae-bd7f0cd577a9,41.11246788303241,6,18984.61,14.729311816277445,292.0,3,0.0,292.0,0.5,2,2,2,14,14,1.0,5.0,14,52,8090.93,2,5647.533333333334
25db12e0-7a12-4f7d-8cc9-8833098e7f49,105.36767621636574,1,1650.27,3.293952095808383,3297.0,1,0.0,3297.0,1.0,2,2,2,2,1,1.0,2.0,2,2,424.6113888888889,1,25476.683333333334
6abcfe5e-4bfb-4dea-b0ec-a490811f5163,87.67553501266204,2,2337.49,4.66564870259481,782.0,1,0.0,782.0,0.5,2,2,2,2,1,1.0,2.0,2,2,424.6113888888889,1,25476.683333333334
3e0a9d4f-33d3-48a6-b609-4fbfc0df7978,331.22045399414355,3,13702.83,10.532536510376634,6.0,2,0.0,6.0,0.6666666666666666,6,2,3,6,7,1.0,4.25,6,52,8090.93,2,8.0
e5258126-0fc9-4129-a7d4-c4b95b0293f9,42.73577806821759,5,27986.54,39.92373751783167,4.0,3,0.0,4.0,0.6,1,2,1,26,26,0.5,7.5,26,52,8090.93,2,21366.033333333333
d0505f8a-7eab-43d5-a299-2dfe1ef97235,92.29694704969907,1,4763.22,9.5074251497006,109.0,1,0.0,109.0,1.0,5,4,2,3,4,1.0,3.5,5,52,8090.93,2,60.0
6a37726e-a99f-4f7b-a0f2-e1bafc2d3e0b,208.30588223488428,2,10418.990000000002,20.796387225548905,297.0,1,0.0,297.0,0.5,5,4,2,26,29,1.0,9.25,26,52,8090.93,2,6679.716666666666
9fcf768d-5d18-4f60-9243-39444fcb91f8,242.81303501266206,8,28642.09,189.68271523178808,709.0,1,0.0,864.0,0.125,2,2,1,2,1,0.75,1.75,2,2,2809.2477777777776,1,168554.86666666667
9c7880e3-fd24-43f8-8dee-149152d13094,359.8650257534028,4,9302.84,18.56854291417166,191.0,1,0.0,191.0,0.25,2,2,1,2,1,0.75,1.75,2,2,2809.2477777777776,1,168554.86666666667
0749c16a-4ee3-44ba-8612-c66510116b4a,267.30683130895835,12,31140.09,18.41769726219415,88.0,6,0.0,88.0,0.5,2,2,1,1,1,0.5,1.5,2,32,8136.2325,1,197881.26666666666
fcdf2fff-fbdf-49b5-8762-147aacc2f0f9,129.88928501266204,3,11842.79,11842.79,1154.0,0,0.0,-1.0,0.0,2,2,1,27,27,0.75,8.0,27,32,8136.2325,3,4277.433333333333
35bf154b-7e71-4743-b434-614da8e2a4aa,272.20531510525467,3,15169.46,15.154305694305693,1034.0,2,0.0,1034.0,0.6666666666666666,2,2,1,2,1,0.75,1.75,2,2,5107.383888888889,1,306443.0333333333
0f9eaa94-8ff9-45dd-ad79-a2891be2c5bf,59.39765306821759,2,9949.31,19.85890219560878,2475.0,1,0.0,2475.0,0.5,2,2,1,2,1,0.75,1.75,2,2,5107.383888888889,1,306443.0333333333
85f5e1ac-d431-4e9b-82f8-4842c54aacce,93.61009519784722,5,9019.75,22.29355643985269,314.0,3,0.0,314.0,0.4,2,2,1,2,1,0.75,1.75,2,2,606.0927777777778,2,36365.566666666666
b5c8e8e6-fd26-420f-ab01-2a2c5e1ce02d,68.35622945710648,3,11440.96,11.42953046953047,2643.0,2,0.0,2643.0,0.6666666666666666,2,2,1,2,1,0.75,1.75,2,2,606.0927777777778,2,36365.566666666666
