customer_id,address_id
42fb79cb-73b9-4b3d-ba6a-b2d2964e88a0,c181baf3-4c2b-41a1-8712-f52a4814f317
64ec232c-75bb-4fe4-a9d4-b6d866d6eaf0,c181baf3-4c2b-41a1-8712-f52a4814f317
efd554a1-de46-4e42-a60a-8a8fcfb54896,64d100a6-a5e3-43e3-aed5-90913136b46e
54f6c235-da04-4003-9c4a-255fa8a19e73,64d100a6-a5e3-43e3-aed5-90913136b46e
3a60368b-26a7-4dc2-9693-a7f3b5d187ef,19ceddc5-2077-4de1-9bdd-3e9963b7753c
fec64a14-572d-4db6-9206-5ba249888f10,19ceddc5-2077-4de1-9bdd-3e9963b7753c
80f3925f-5b58-4833-a09c-b6ebe5e4977c,ea60fb88-872c-4bfb-968f-05cf62569bb7
53a0c9fd-882d-46f0-8f2e-7ecf66f3420e,ea60fb88-872c-4bfb-968f-05cf62569bb7
b1f00d97-2ee5-4206-ac41-e8a434bb3eb8,32b4b36f-276f-4425-a66c-1ea9ced58ec1
aa43a61b-40ec-4a24-a66d-a47b3224add4,32b4b36f-276f-4425-a66c-1ea9ced58ec1
d3af3ce1-be12-4e32-90ca-933adb25fa05,9a88de9d-5f4a-4cba-a611-3595e454a449
9adf9e3f-4b16-446c-9ee6-1ad72edac370,9a88de9d-5f4a-4cba-a611-3595e454a449
1704880e-e84f-472a-af44-908ce8e35a3e,5b8a248b-c9fe-4e46-b25a-67ac17fafc75
c5fa66ee-67f5-4b83-b81e-cbabe0862c54,5b8a248b-c9fe-4e46-b25a-67ac17fafc75
99a2c5e2-310b-4e52-aeff-abbc2c13aece,cb5761ec-f285-4dc6-9547-21cde028c5e1
6a41db52-0b60-4b18-ba3a-75de29c4535b,cb5761ec-f285-4dc6-9547-21cde028c5e1
d76fa90e-1d69-4e80-b8ce-f7c2c77837d1,36f46c47-00de-4d80-a260-af0fe09a3a38
12def42d-ce10-47fc-9ad6-5e1d1c97d1cf,36f46c47-00de-4d80-a260-af0fe09a3a38
ff1f0c52-cbb1-4b48-aec8-26c4f657f73e,e84ac931-be6c-41a7-9663-b9b58545bcc7
5743504f-6574-48dd-88b4-b9504dcb2d1e,e84ac931-be6c-41a7-9663-b9b58545bcc7
fde9535e-6c2e-41f9-9b28-ab604b28a4a0,67c9e441-5701-4956-a6fe-8c008f9a94ab
b97d88e9-c058-4ed4-bf84-02057970b70b,67c9e441-5701-4956-a6fe-8c008f9a94ab
5cb39c91-44c0-4301-a7d7-c7fdca38d396,6ecab420-8916-4bd6-a795-3338c2de9c41
e3a90502-c801-41c2-8794-40824e29013c,6ecab420-8916-4bd6-a795-3338c2de9c41
