address_id,city,postal_code
76d50d86-f2d6-4958-b5f7-b17f39a23705,Howrah,937775
072485bc-84e4-4823-bc7f-fbb133f9b1e9,Bhimavaram,983210
fb6d8fb9-4aa5-4e87-9c42-365c8fdd3bae,Khora ,617469
58f6b91d-0969-4941-8c23-7d3a0aab3bcd,Kozhikode,104384
ab27ae4b-64d6-4a83-913d-cfc542222cef,Udupi,622913
517ae98c-aa7d-42e2-a8f0-94b3e59fd0b0,Gurgaon,080568
3f5df37f-a602-4e64-9638-2fda9af8480a,Erode,706362
5df48d1d-a7b3-4ec0-b3cb-4b552c3775a8,Aurangabad,550494
9cce72d4-8627-47ce-a2e0-17050d34dbd0,Dewas,766349
e9acf31c-2c07-4825-b1b5-8b6ad4d01c41,Kamarhati,504962
def6910e-e889-47b6-805d-73c5980b9510,Jhansi,262611
f12b2490-9764-4ddd-beda-8cde5bc50fac,Siliguri,362585
98f6c6a9-f2f5-4e0f-aa1b-511cfb9a59a4,Saharanpur,880879
7919652a-3331-4b39-83a7-b28dd0cf0551,Vellore,341996
2afcd77d-4478-4fd2-a257-6a852539f4cf,Muzaffarnagar,853247
8c70d670-b4ff-4ed4-9df9-2c04ff34be62,Ambarnath,583334
33330220-5c7f-4f46-936a-b74c0f545515,Visakhapatnam,115876
d518f19d-e9af-4cfe-a54f-37475346c851,Dindigul,576947
683aa904-1241-4c75-8102-77d1d81ee7fb,Malda,945353
a0894c03-1f6a-44d8-9a7a-9921bbee3f0d,Uluberia,466986
0e4dc379-7603-4812-923c-363012afdd43,Chinsurah,421254
06d369d3-094f-480d-aeab-53bfae40621a,Lucknow,959481
f7f6463d-70be-4b25-9999-f3f15eb1acf7,Udaipur,925596
eea11a3e-350c-4390-9900-7019ba68daae,Barasat,213074
1f0a0c6c-c0ac-420c-8668-6869b09c9f76,Mathura,914261
e6a4b270-0f97-406f-a6d6-414253939493,Faridabad,893326
1ea6982a-dc30-4652-86e8-8c79f68ac2bc,Barasat,430796
d0136b42-ce73-4183-874c-40ed2211b76e,Berhampore,100817
4c871f24-9431-431c-a0ad-b5f7f2afe04b,Rourkela,115871
6498a200-1efd-4630-8ef9-f5893299aa5f,Ratlam,354268
9853be3b-164e-4bda-aca2-2a36cd0030d6,Rampur,701732
0863d296-9893-406e-b5cd-08e475c7284a,Dehri,523777
bd5de572-d357-4e1b-8db9-75d0a6da54a8,Gangtok,656337
e7bc4d77-c792-4711-a507-32adbb4a1960,Gorakhpur,005278
f5079c95-e7a4-4dd5-8d6b-9543272555e5,Nagpur,580002
7db77eeb-b64d-4aa8-92e2-cecbea6a4cbc,Mangalore,142573
39135730-1b3a-4a25-8ec6-a99d1f74385b,Khandwa,943913
ae4d49ae-d64d-4eaf-9fdf-3c32b35736b7,Dehri,720313
2ae80540-47c0-411d-bce6-30601bfad33f,Sri Ganganagar,286209
2b7928e3-6951-413c-a74c-bf59100007f1,Ramgarh,352595
f062ffcd-5a88-47a9-818d-d4c0c94638c3,Noida,227393
