customer_id,payment_id
fd00294d-3bf3-47cd-857e-4da9b6a5d6b8,1efad13f-edce-4483-b790-6e8d34955226
ab3fd93e-93e7-4678-8cef-ec10261a0f12,1efad13f-edce-4483-b790-6e8d34955226
68a10bdb-1480-41d9-811b-3c30f775459b,7e262e42-2cbe-431b-85ac-59eef4d41853
0ed5f1c4-5e71-4b3e-8e9e-8eb6c8b4b9f5,7e262e42-2cbe-431b-85ac-59eef4d41853
dd32e031-fd7b-442f-93b8-6c8b8df80261,521297c7-8df2-4b02-afca-03ef4c4159d2
21b322d7-11a3-4911-9049-5f1e069a2aa8,521297c7-8df2-4b02-afca-03ef4c4159d2
c066a1f8-e50b-4b91-bc72-270742204e39,f60dabd4-d215-431f-a659-653d20f39d61
ef03ed41-03f3-4756-9d93-006229977469,f60dabd4-d215-431f-a659-653d20f39d61
bfa1f931-e8ba-4572-a798-9caa44a4eaaa,e06e49b9-514e-4233-9179-fc5a4ddcae6d
f9e9acd2-fab8-4d82-ba24-9e052072fac1,e06e49b9-514e-4233-9179-fc5a4ddcae6d
4baccf83-dad3-4382-b474-b1376424fdfd,fea43312-27e2-4869-b3e8-b1b9a70014c6
68754505-e883-465a-9bc1-43a230b3a4b6,932cb3a6-444a-4ae7-b254-3bc1ef6a049f
e517cebb-774b-4890-8feb-fe6bf2fe952b,1eba6e84-6858-4dd0-bb9e-44a0fb4cf95b
fd8d54d3-b879-4dfe-a6a7-a2057568d282,1eba6e84-6858-4dd0-bb9e-44a0fb4cf95b
83f79f57-7928-4b4e-92b1-8030d988553d,5dd111c5-b24b-44ed-8c87-eec4f0a43db6
dac3fecc-ead3-4c06-95fe-fefeff2ac559,5dd111c5-b24b-44ed-8c87-eec4f0a43db6
19cd6492-9f2b-4104-908d-93bd0bae880a,782d255f-7928-4038-8445-57639a5814b1
e060d66b-7c0f-4826-b363-90c0cbb1e7d5,782d255f-7928-4038-8445-57639a5814b1
6536fcb3-7b1b-4669-9fc3-498febb7f3a4,2046c9ca-b58c-4a43-b128-4e907c3882d5
d7e94dca-2746-4cd5-817f-065090e938ae,2046c9ca-b58c-4a43-b128-4e907c3882d5
0c07a988-b9ef-4cc2-a82a-95ae04827bc3,5027928a-0b4c-4f75-bcdf-da1a1dfb3034
d6daf440-27d0-43d7-8d4a-803d855a4d8c,5027928a-0b4c-4f75-bcdf-da1a1dfb3034
a0dcc4df-fbd2-42d0-934d-cae17f35d9be,dfd8aac8-fc64-4ab2-bea7-5eb1ae65e73f
261a178f-151e-4159-9675-230c4fb4bc6a,0590fe0f-576e-40f9-b67b-97fa398d642d
c55b53fd-90c2-4931-8236-faef0dbd2e81,605883fa-3af9-4f93-b34c-3607c9e7a362
b590c669-68d7-49dc-84b4-e5c1ae620ebf,605883fa-3af9-4f93-b34c-3607c9e7a362
77076cbb-5e64-4ed2-a753-6c421189b14e,a77a84e1-3b47-4b43-8a1e-3314de6210e1
67d81c9c-b461-46e6-9e9f-6e5e34a583bd,c3fcde8e-84a8-4cae-afbd-d435c420c449
86bba5ef-3c28-482f-8f08-fd789f5363c5,8362a432-56b9-4c12-9ccf-756aae92feb8
50270f47-42c5-4d44-b5c6-2f539fa7a9bb,8362a432-56b9-4c12-9ccf-756aae92feb8
db4c7161-4f2f-4fa9-9ae7-07c942d93df4,16ff843e-a29c-40de-b3c5-d0c16c8af7bf
b34408bf-c9d5-4f17-8e91-fdd761379943,16ff843e-a29c-40de-b3c5-d0c16c8af7bf
49681815-47cc-4ca4-998e-587f3b6bc45d,b84d273a-2314-40ba-bd0d-38108ef20e39
b22342ee-be53-439f-b936-1ffdbede9d41,b84d273a-2314-40ba-bd0d-38108ef20e39
91b4bec9-39e0-4032-9a2b-1a98694df0e8,7f6a2e98-56d1-4b3c-add1-6470b334ecf0
2b342507-b70d-46fd-90d2-c56a3db3f03b,7f6a2e98-56d1-4b3c-add1-6470b334ecf0
d3c5b7f8-92bb-4d21-84f7-bdf5b6940aae,4dba46d1-b287-415d-ba1a-ad96b6b52556
269303bc-fb35-4b8b-9a9a-2f693a2be19d,4dba46d1-b287-415d-ba1a-ad96b6b52556
7b7e842d-0c6d-49b4-b581-bf3a0187d097,aec08d9f-3ca1-4970-8240-0ca546c3c514
